curso,modulo,id_modulo,tipo,numero,criterio,fuente_curricular,afirmacion_respaldada,alcance,fuente_normativa,trazable
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,11,2.1 Lee las indicaciones entregadas en las especificaciones técnicas relativas a la forma en que se deben realizar los trabajos en la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.1 Lee las indicaciones entregadas en las especificaciones técnicas relativas a la forma en que se deben realizar los trabajos en la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,12,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,13,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,14,2.4 Lee las especificaciones técnicas para detectar posibles interferencias con elementos estructurales o de otros servicios que dificulten la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.4 Lee las especificaciones técnicas para detectar posibles interferencias con elementos estructurales o de otros servicios que dificulten la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,cases,15,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,1,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,2,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,3,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,4,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,5,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,6,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,7,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,8,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,9,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,10,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,11,2.1 Lee las indicaciones entregadas en las especificaciones técnicas relativas a la forma en que se deben realizar los trabajos en la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.1 Lee las indicaciones entregadas en las especificaciones técnicas relativas a la forma en que se deben realizar los trabajos en la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,12,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,13,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,14,2.4 Lee las especificaciones técnicas para detectar posibles interferencias con elementos estructurales o de otros servicios que dificulten la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.4 Lee las especificaciones técnicas para detectar posibles interferencias con elementos estructurales o de otros servicios que dificulten la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,15,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,16,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.4 Elabora un informe técnico indicando las posibles anomalías encontradas en los planos analizados, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,17,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,2.2 Lee las especificaciones técnicas para conocer el tipo de material a utilizar en la ejecución de proyectos de refrigeración y climatización.,Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,18,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,19,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.3 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico para detectar posibles interferencias entre equipos, tuberías, ductos y elementos estructurales o de otros servicios, que dificulten la ejecución del proyecto en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,20,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.5 Elabora un informe técnico de la actividad realizada, indicando posibles anomalías encontradas en las especificaciones técnicas, utilizando tecnologías de la información.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,21,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"3.3 Calcula la cantidad de elementos y materiales para un determinado recinto, de acuerdo a lo establecido por el proyecto, utilizando un software de diseño.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,22,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.2 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para identificar la ubicación espacial del trazado de cañerías o ductos, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,23,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.3 Lee las especificaciones técnicas para detectar posibles interferencias entre equipos, tuberías y ductos en la ejecución de proyectos de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,24,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"4.3 Elabora un informe de cubicación de elementos y materiales, según los cálculos realizados, de acuerdo con lo establecido en la Norma Chilena relativa a Cubicaciones.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Lectura de planos y cubicación de materiales de proyectos,1,questions,25,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Utiliza simbología técnica relativa a la especialidad y normas de dibujo técnico, para diferenciar entre una planta de cielo y una planta normal, en un plano de refrigeración y climatización.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,1,"1.1 Lee y extrae información técnica y de seguridad de instrumentos, desde el catálogo de fabricación, para un buen uso del instrumento.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Lee y extrae información técnica y de seguridad de instrumentos, desde el catálogo de fabricación, para un buen uso del instrumento.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,2,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,3,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,4,"1.4 Realiza cálculos matemáticos para convertir las unidades de medida de distintas magnitudes físicas, de acuerdo a los requerimientos propios de la utilización de los instrumentos.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.4 Realiza cálculos matemáticos para convertir las unidades de medida de distintas magnitudes físicas, de acuerdo a los requerimientos propios de la utilización de los instrumentos.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,5,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,6,"2.3 Realiza un informe de resultados obtenidos, de acuerdo a pautas establecidas, utilizando procesadores de textos y entregándolos al o la docente.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.3 Realiza un informe de resultados obtenidos, de acuerdo a pautas establecidas, utilizando procesadores de textos y entregándolos al o la docente.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,7,"1.2 Utiliza instrumentos de medición, considerando los protocolos establecidos y de seguridad determinados por el fabricante, trabajando en equipo y coordinando acciones con otros en las tareas a realizar.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.2 Utiliza instrumentos de medición, considerando los protocolos establecidos y de seguridad determinados por el fabricante, trabajando en equipo y coordinando acciones con otros en las tareas a realizar.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,8,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,9,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,10,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,11,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,12,"2.3 Realiza un informe de resultados obtenidos, de acuerdo a pautas establecidas, utilizando procesadores de textos y entregándolos al o la docente.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.3 Realiza un informe de resultados obtenidos, de acuerdo a pautas establecidas, utilizando procesadores de textos y entregándolos al o la docente.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,13,"1.3 Mide magnitudes físicas, para detectar posibles fallas y verificar el correcto funcionamiento de los equipos, considerando las indicaciones de seguridad establecidas desde fábrica.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.3 Mide magnitudes físicas, para detectar posibles fallas y verificar el correcto funcionamiento de los equipos, considerando las indicaciones de seguridad establecidas desde fábrica.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,14,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"2.2 Realiza ajustes respectivos a equipos de refrigeración, de acuerdo con los datos entregados por los instrumentos y la comparación con lo establecido en su fabricación.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,cases,15,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.5 Registra valores obtenidos de la lectura de instrumentos para elaborar informes de resultados, de acuerdo a pautas entregadas.",Respalda el aprendizaje curricular; los datos y decisiones del caso son una simulación didáctica.,,1
Refrigeración y Climatización,Instrumentos de medición y de verificación,2,questions,1,"1.1 Lee y extrae información técnica y de seguridad de instrumentos, desde el catálogo de fabricación, para un buen uso del instrumento.",https://www.curriculumnacional.cl/614/articles-34318_programa.pdf,"1.1 Lee y extrae información técnica y de seguridad de instrumentos, desde el catálogo de fabricación, para un buen uso del instrumento.",Respalda el aprendizaje curricular; los datos y decisiones del ítem son una simulación didáctica.,,1
